input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  200000/375000  (53.3%)  rate=202.8 pos/s  eta=14.4 min  written=180053 skipped=19947
  201000/375000  (53.6%)  rate=202.8 pos/s  eta=14.3 min  written=180952 skipped=20048
  202000/375000  (53.9%)  rate=202.8 pos/s  eta=14.2 min  written=181835 skipped=20165
  203000/375000  (54.1%)  rate=202.8 pos/s  eta=14.1 min  written=182731 skipped=20269
  204000/375000  (54.4%)  rate=202.9 pos/s  eta=14.0 min  written=183625 skipped=20375
  205000/375000  (54.7%)  rate=202.9 pos/s  eta=14.0 min  written=184518 skipped=20482
  206000/375000  (54.9%)  rate=202.9 pos/s  eta=13.9 min  written=185425 skipped=20575
  207000/375000  (55.2%)  rate=202.8 pos/s  eta=13.8 min  written=186313 skipped=20687
  209000/375000  (55.7%)  rate=202.8 pos/s  eta=13.6 min  written=188114 skipped=20886
  210000/375000  (56.0%)  rate=202.9 pos/s  eta=13.6 min  written=189020 skipped=20980
  212000/375000  (56.5%)  rate=202.9 pos/s  eta=13.4 min  written=190825 skipped=21175
  213000/375000  (56.8%)  rate=202.9 pos/s  eta=13.3 min  written=191722 skipped=21278
  214000/375000  (57.1%)  rate=202.8 pos/s  eta=13.2 min  written=192618 skipped=21382
  216000/375000  (57.6%)  rate=202.8 pos/s  eta=13.1 min  written=194418 skipped=21582
  218000/375000  (58.1%)  rate=202.9 pos/s  eta=12.9 min  written=196215 skipped=21785
  219000/375000  (58.4%)  rate=202.9 pos/s  eta=12.8 min  written=197118 skipped=21882
  220000/375000  (58.7%)  rate=202.9 pos/s  eta=12.7 min  written=198024 skipped=21976
  221000/375000  (58.9%)  rate=202.9 pos/s  eta=12.7 min  written=198935 skipped=22065
  222000/375000  (59.2%)  rate=202.9 pos/s  eta=12.6 min  written=199861 skipped=22139
  223000/375000  (59.5%)  rate=202.9 pos/s  eta=12.5 min  written=200758 skipped=22242
  224000/375000  (59.7%)  rate=202.9 pos/s  eta=12.4 min  written=201664 skipped=22336
  225000/375000  (60.0%)  rate=202.8 pos/s  eta=12.3 min  written=202576 skipped=22424
  226000/375000  (60.3%)  rate=202.8 pos/s  eta=12.2 min  written=203497 skipped=22503
  227000/375000  (60.5%)  rate=202.8 pos/s  eta=12.2 min  written=204389 skipped=22611
  228000/375000  (60.8%)  rate=202.8 pos/s  eta=12.1 min  written=205285 skipped=22715
  229000/375000  (61.1%)  rate=202.9 pos/s  eta=12.0 min  written=206179 skipped=22821
  230000/375000  (61.3%)  rate=202.9 pos/s  eta=11.9 min  written=207065 skipped=22935
  231000/375000  (61.6%)  rate=202.9 pos/s  eta=11.8 min  written=207942 skipped=23058
  232000/375000  (61.9%)  rate=202.9 pos/s  eta=11.7 min  written=208850 skipped=23150
  233000/375000  (62.1%)  rate=202.9 pos/s  eta=11.7 min  written=209754 skipped=23246
  234000/375000  (62.4%)  rate=202.8 pos/s  eta=11.6 min  written=210659 skipped=23341
  235000/375000  (62.7%)  rate=202.7 pos/s  eta=11.5 min  written=211556 skipped=23444
  236000/375000  (62.9%)  rate=202.7 pos/s  eta=11.4 min  written=212477 skipped=23523
  237000/375000  (63.2%)  rate=202.7 pos/s  eta=11.3 min  written=213370 skipped=23630
  238000/375000  (63.5%)  rate=202.7 pos/s  eta=11.3 min  written=214281 skipped=23719
  239000/375000  (63.7%)  rate=202.7 pos/s  eta=11.2 min  written=215182 skipped=23818
  241000/375000  (64.3%)  rate=202.7 pos/s  eta=11.0 min  written=216963 skipped=24037
  242000/375000  (64.5%)  rate=202.6 pos/s  eta=10.9 min  written=217876 skipped=24124
  243000/375000  (64.8%)  rate=202.7 pos/s  eta=10.9 min  written=218784 skipped=24216
  244000/375000  (65.1%)  rate=202.7 pos/s  eta=10.8 min  written=219677 skipped=24323
  246000/375000  (65.6%)  rate=202.7 pos/s  eta=10.6 min  written=221490 skipped=24510
  247000/375000  (65.9%)  rate=202.7 pos/s  eta=10.5 min  written=222378 skipped=24622
  250000/375000  (66.7%)  rate=202.7 pos/s  eta=10.3 min  written=225074 skipped=24926
  252000/375000  (67.2%)  rate=202.6 pos/s  eta=10.1 min  written=226873 skipped=25127
  253000/375000  (67.5%)  rate=202.6 pos/s  eta=10.0 min  written=227784 skipped=25216
  255000/375000  (68.0%)  rate=202.6 pos/s  eta=9.9 min  written=229595 skipped=25405
  256000/375000  (68.3%)  rate=202.6 pos/s  eta=9.8 min  written=230504 skipped=25496
  257000/375000  (68.5%)  rate=202.6 pos/s  eta=9.7 min  written=231392 skipped=25608
  258000/375000  (68.8%)  rate=202.6 pos/s  eta=9.6 min  written=232273 skipped=25727
  259000/375000  (69.1%)  rate=202.6 pos/s  eta=9.5 min  written=233156 skipped=25844
  260000/375000  (69.3%)  rate=202.6 pos/s  eta=9.5 min  written=234090 skipped=25910
  262000/375000  (69.9%)  rate=202.6 pos/s  eta=9.3 min  written=235883 skipped=26117
  263000/375000  (70.1%)  rate=202.6 pos/s  eta=9.2 min  written=236772 skipped=26228
  265000/375000  (70.7%)  rate=202.6 pos/s  eta=9.1 min  written=238552 skipped=26448
  266000/375000  (70.9%)  rate=202.6 pos/s  eta=9.0 min  written=239447 skipped=26553
