W:W24;29;31;33;34;38;39;40;41;42;44;48:B4;5;7;9;10;12;13;15;17;25;26;35,41-37-,41-36-,25,41-36-,26,34-30-,74,34-30-,105
W:W27;28;32;34;35;36;37;38;39;40;42;45;47;48:B2;3;6;11;12;13;14;15;16;18;19;21;24;26,34-30-,28-23-,84,28-23-,73,28-23-,79,28-23-,75
W:W24;28;29;32;34;37;38;39;40;44;45;48:B7;8;9;11;13;15;16;18;19;20;23;25,40-35-,38-33-,-61,34-30-,88,34-30-,94,34-30-,85
W:W21;23;24;28;29;32;33;37;39;48:B2;8;9;12;13;15;17;18;20;26,39-34-,32-27-,58,28-22-,116,28-22-,121,28-22-,114
B:W26;27;28;31;32;33;36;38;39;42;43;44;45;49:B3;4;6;7;8;11;12;14;16;17;19;23;24;25,4-10-,3-9-,13,24-29-,20,24-30-,13,24-30-,12
B:W27;28;32;34;36;38;39;40;42;45;48:B1;3;4;11;12;14;17;18;19;23;24,17-21-,11-16-,10,11-16-,5,11-16-,9,17-21-,54
W:W23;24;27;28;29;32;33;34;36;37;38;39;40;48:B2;3;4;8;9;12;13;14;15;16;18;21;25;26,48-43-,27-22-,55,27-22-,69,27-22-,89,27-22-,81
W:W24;27;28;29;31;32;33;34;35;38;39;40;43;45;48:B2;3;4;6;8;10;11;12;13;15;16;18;20;25;26,34-30-,34-30-,58,34-30-,51,34-30-,21,34-30-,41
W:W25;27;31;32;33;35;36;37;38;42;45;46;47;48;49;50:B1;3;5;6;7;8;9;13;15;16;18;22;23;24;26;29,33-28-,33-28-,54,45-40-,34,33-28-,54,45-40-,36
W:W25;29;31;33;34;35;36;37;38;39;41;42;43;44;45;47;49:B2;3;4;6;7;8;10;11;13;14;15;18;19;20;22;23;27,34-30-,34-30-,59,34-30-,58,34-30-,59,34-30-,51
W:W25;28;31;32;33;35;38;39;40;42;48:B3;9;12;13;14;16;17;19;21;22;24,31-26-,31-26-,-23,31-26-,-19,31-26-,-23,31-26-,-18
W:W12;48:B6;11;13;14;16;24;34;43,48-10-14.24.34.43,48-10-14.24.34.43,52,48-10-14.24.34.43,69,48-10-14.24.34.43,65,48-10-14.24.34.43,74
W:W25;26;30;33;34;36;37;38;39;41;42;43;44;46;48:B2;4;6;7;9;11;13;14;15;16;17;18;19;22;27,37-31-,30-24-,34,30-24-,35,30-24-,8,30-24-,14
W:W24;28;29;31;33;34;36;39;40;41;43;46;47;49:B2;5;6;7;8;9;11;13;15;16;17;19;20;25,40-35-,34-30-,153,34-30-,156,34-30-,155,34-30-,172
W:W24;27;29;31;33;34;35;36;37;38;39;40;42;43;44;45:B3;6;8;9;10;11;12;13;14;15;16;18;20;22;23;25,35-30-,35-30-,7,27-21-,165,27-21-,112,27-21-,168
